class,threshold,tp,fp,fn,precision,recall,f1,jaccard,fp_per_image,fn_per_image
Leucocyte,0.4699999988079071,480,35,92,0.9320388349514563,0.8391608391608392,0.8831646734130635,0.7907742998352554,0.660377358490566,1.7358490566037736
Leucocyte,0.47999998927116394,478,31,94,0.9390962671905697,0.8356643356643356,0.8843663274745607,0.7927031509121062,0.5849056603773585,1.7735849056603774
Leucocyte,0.49000000953674316,477,29,95,0.9426877470355731,0.833916083916084,0.8849721706864564,0.7936772046589018,0.5471698113207547,1.7924528301886793
Leucocyte,0.5,474,27,98,0.9461077844311377,0.8286713286713286,0.8835041938490213,0.7913188647746243,0.5094339622641509,1.849056603773585
Leucocyte,0.5099999904632568,471,26,101,0.9476861167002012,0.8234265734265734,0.8811973807296539,0.7876254180602007,0.49056603773584906,1.9056603773584906
Leucocyte,0.5199999809265137,469,24,103,0.9513184584178499,0.8199300699300699,0.8807511737089201,0.7869127516778524,0.4528301886792453,1.9433962264150944
Leucocyte,0.5299999713897705,465,23,107,0.9528688524590164,0.8129370629370629,0.8773584905660378,0.7815126050420168,0.4339622641509434,2.018867924528302
Leucocyte,0.5400000214576721,460,21,112,0.9563409563409564,0.8041958041958042,0.8736942070275403,0.7757166947723441,0.39622641509433965,2.1132075471698113
Leucocyte,0.550000011920929,455,21,117,0.9558823529411765,0.7954545454545454,0.8683206106870228,0.7672849915682968,0.39622641509433965,2.207547169811321
Leucocyte,0.5600000023841858,451,21,121,0.9555084745762712,0.7884615384615384,0.863984674329502,0.760539629005059,0.39622641509433965,2.2830188679245285
Leucocyte,0.5699999928474426,448,20,124,0.9572649572649573,0.7832167832167832,0.8615384615384616,0.7567567567567568,0.37735849056603776,2.339622641509434
Leucocyte,0.5799999833106995,446,19,126,0.9591397849462365,0.7797202797202797,0.8601735776277724,0.754653130287648,0.3584905660377358,2.3773584905660377
Leucocyte,0.5899999737739563,441,19,131,0.9586956521739131,0.7709790209790209,0.8546511627906976,0.7461928934010152,0.3584905660377358,2.4716981132075473
Leucocyte,0.6000000238418579,436,17,136,0.9624724061810155,0.7622377622377622,0.8507317073170733,0.7402376910016978,0.32075471698113206,2.5660377358490565
Leucocyte,0.6100000143051147,434,16,138,0.9644444444444444,0.7587412587412588,0.8493150684931507,0.7380952380952381,0.3018867924528302,2.6037735849056602
Leucocyte,0.6200000047683716,429,15,143,0.9662162162162162,0.75,0.844488188976378,0.7308347529812607,0.2830188679245283,2.69811320754717
Leucocyte,0.6299999952316284,426,14,146,0.9681818181818181,0.7447552447552448,0.8418972332015812,0.726962457337884,0.2641509433962264,2.7547169811320753
Leucocyte,0.6399999856948853,418,12,154,0.9720930232558139,0.7307692307692307,0.8343313373253493,0.7157534246575342,0.22641509433962265,2.9056603773584904
Leucocyte,0.6499999761581421,414,11,158,0.9741176470588235,0.7237762237762237,0.8304914744232698,0.7101200686106347,0.20754716981132076,2.981132075471698
Leucocyte,0.6600000262260437,410,9,162,0.9785202863961814,0.7167832167832168,0.82744702320888,0.7056798623063684,0.16981132075471697,3.056603773584906
Leucocyte,0.6700000166893005,409,9,163,0.9784688995215312,0.715034965034965,0.8262626262626263,0.7039586919104991,0.16981132075471697,3.0754716981132075
Leucocyte,0.6800000071525574,401,7,171,0.9828431372549019,0.701048951048951,0.8183673469387756,0.6925734024179621,0.1320754716981132,3.2264150943396226
Leucocyte,0.6899999976158142,397,7,175,0.9826732673267327,0.6940559440559441,0.8135245901639344,0.6856649395509499,0.1320754716981132,3.30188679245283
Leucocyte,0.699999988079071,390,6,182,0.9848484848484849,0.6818181818181818,0.8057851239669421,0.6747404844290658,0.11320754716981132,3.4339622641509435
